Reference,Value,Footprint,Datasheet,Manufacturer,Man. Part Num.,Supplier,Supplier Part Num.,Comp. Value,Quantity
U1,BLUEGIGA_BLE113,ovrEngineered:BLE113,http://media.digikey.com/pdf/Data%20Sheets/BlueGiga%20PDFs/BLE113.pdf,BlueGiga,BLE113-A-M256K,Digi-Key,1446-1035-1-ND,,1
R1 R5 R4 R9 R10,R_10K_1%_0603,ovrEngineered:R_0603,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay_Dale,CRCW060310K0FKEA,Digi-Key,541-10.0KHCT-ND,10K,5
C1,C_0.15uF_25v_0603,ovrEngineered:C_0603,http://www.tdk.com/pdf/TDKMLCCCapRange.pdf,TDK Corporation,C1608X7R1E154K080AA,Digi-Key,445-5190-1-ND,0.15uF,1
C2,C_2200pF_50v_0603,ovrEngineered:C_0603,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71H222KA01-01.pdf,Murata,GRM188R71H222KA01D,Digi-Key,"	490-1500-1-ND",2200pF,1
C6 C5,C_10000pF_25v_0603,ovrEngineered:C_0603,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,Murata,GRM188R71E103KA01D,Digi-Key,490-1520-1-ND,10000pF,2
C3 C8,C_0.47uF_25v_0603,ovrEngineered:C_0603,http://www.tdk.com/pdf/TDKMLCCCapRange.pdf,TDK Corporation,C1608X5R1E474K080AC,Digi-Key,445-5144-1-ND,0.47uF,2
C4 C7,C_0.022uF_25v_0603,ovrEngineered:C_0603,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71C223KA01-01.pdf,Murata,GRM188R71E223KA01D,Digi-Key,490-9761-1-ND,0.022uF,2
C9,C_22uF_25v_0805,ovrEngineered:C_0805,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT21BR61E226ME13-01.pdf,Murata,GRT21BR61E226ME13L,Digi-Key,490-12389-1-ND,22uF,1
R8,R_42.2K_1%_0603,ovrEngineered:R_0603,http://www.yageo.com/exep/pages/download/literatures/PYu-R_Marking_2.pdf,Yageo,RC0603FR-0742K2L,Digi-Key,311-42.2KHRCT-ND,42.2K,1
R6 R7,R_300_1%_0603,ovrEngineered:R_0603,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf,Yageo,RC0603FR-07300RL,Digi-Key,311-300HRCT-ND,300,2
R3,R_953_1%_0603,ovrEngineered:R_0603,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Yageo,RC0603FR-07953RL,Digi-Key,311-953HRCT-ND,953,1
C13 C11,C_1uF_10v_0805,ovrEngineered:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71A106KE51%23.pdf,Murata,GRM21BR71A105KA01L,Digi-Key,490-1695-1-ND,1uF,2
C12 C10,C_0.1uF_10v_0603,ovrEngineered:C_0603,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71C104KA01-01.pdf,Murata,GRM188R71C104KA01D,Digi-Key,490-1532-1-ND,0.1uF,2
